screen_name,text,localidad,provincia,hora,verified,friends_count,followers,tweets,primera persona,segunda persona,tercera persona,sentimiento medio emojis,tiempo condicional,tiempo futuro,tiempo pasado,tiempo presente,mediana,sentiment
IVANSARNAGO,"cual es tu flashback de vietnam? — Lo gilipollas que fue Neil Gaiman en el salón de Barcelona, sobón, pedorro tipo profesor de filosofía salido de facultad de mierda con groupies dejándose sobar. https://t.co/3oh7O2iHXk",Burgos,Burgos,19,0,3448,2895,83351,0,0,2,0.0,0,0,1,1,17850.0,-0.373038
IVANSARNAGO,"Pues depende del tipo de nude, entre 20 y 50. Más si es una petición especifica — Bien, es aceptable.  https://t.co/TrisM7z1aF",Burgos,Burgos,10,0,3448,2895,83351,0,0,4,0.0,0,0,0,4,17850.0,0.751104
IVANSARNAGO,"los gigantes de hielo viven en la estepa burgalesa? — Gigantes de 1'50, pero si, efectivamente. https://t.co/XZ52siQu1c",Burgos,Burgos,14,0,3448,2895,83351,0,0,1,0.0,0,0,0,1,17850.0,0.688679
IVANSARNAGO,"He paseado un rato por lo del #BeniformFest porque nunca he conectado con esas cosas y me parece rarísimo que de un tiempo a esta parte todos parezcais tan interesados y volcados con los festivales de la canción.

Me volveré a mantener otro siglo al margen. Qué ranciedad.",Burgos,Burgos,22,0,3448,2895,83351,3,0,1,0.0,0,1,0,3,17850.0,0.469948
IVANSARNAGO,"¿cual dirías que es tu peor defecto, y si le has solucionado? — Tengo tantos como pelo en el cuerpo, pero me hice la láser. https://t.co/voq6Ht36kF",Burgos,Burgos,0,0,3448,2895,83351,3,0,1,0.0,0,0,1,3,17850.0,-0.708612
IVANSARNAGO,"Si el más tonto de los más tontos entrena, no llegará al nivel de los frikis revuelvebasura de cinemascomics.",Burgos,Burgos,20,0,3448,2895,83351,0,0,2,0.0,0,1,0,1,17850.0,-0.937116
IVANSARNAGO,"Juan Carlos en una comedia de esas de Leo Harlem:
""Escóndeme, Corinna, que me quitan la Corona!""
Próximo éxito de A3media.",Burgos,Burgos,20,0,3448,2895,83351,0,0,1,0.0,0,0,0,1,17850.0,-0.607123
IVANSARNAGO,"Creo que no he visto peor película en muchos años, y he visto mierdas, que Cuidado con lo que deseas.",Burgos,Burgos,23,0,3448,2895,83351,3,1,0,0.0,0,0,0,4,17850.0,-0.945792
IVANSARNAGO,"PERO QUÉ COJONES... ¿Y EN SU LUGAR, OTRA COMEDIA CHORRA?",Burgos,Burgos,18,0,3448,2895,83351,0,0,0,0.0,0,0,0,0,17850.0,-0.786442
IVANSARNAGO,Las recomendaciones. https://t.co/hTfBA0h4lm,Burgos,Burgos,18,0,3448,2895,83351,0,0,0,0.0,0,0,0,0,17850.0,0.8018109999999999
Txonny_,Compartiendo canciones del #BenidormFest en stories de insta para que los locals de mis amigos se empanen. https://t.co/lo0qmBUGg8,Llanera,Asturias,11,0,3194,1783,135945,0,0,1,0.0,0,0,0,1,16450.0,0.0
Txonny_,Sabía que al final la baronesinha y la pilantra iban a acabar comiéndose la almeja! tanto enemies to lovers escondía deseo y amor,Llanera,Asturias,0,0,3194,1783,135945,0,0,4,0.0,0,0,3,0,16450.0,-0.363405
Txonny_,Las peleas de Gaviota y Rodrigo son tan divertidísimas  #DestilandoAmor,Llanera,Asturias,15,0,3194,1783,135945,0,0,1,0.0,0,0,0,1,16450.0,-0.50463
Txonny_,Que forma mas guay de empezar 2022 con este promazo.,Llanera,Asturias,14,0,3194,1783,135945,0,0,1,0.0,0,0,0,1,16450.0,0.752989
Txonny_,Temazo,Llanera,Asturias,15,0,3194,1783,135945,0,0,0,0.0,0,0,0,0,16450.0,0.987297
Txonny_,Se vienen los 12 puntos de España a Ucrania,Llanera,Asturias,22,0,3194,1783,135945,0,0,1,0.0,0,0,0,1,16450.0,0.0
Txonny_,"Soy un desastre financiero hasta en los videojuegos. En el punto donde estoy ahora del #FF7 tengo 20 giles de mierda.

Se viene luego 86675757 batallas aleatorias para además de subir nivel, recuperar las finanzas.",Llanera,Asturias,15,0,3194,1783,135945,3,0,1,0.0,0,0,0,4,16450.0,-0.866635
Txonny_,"La manera en que esta canción me levanta la moral y me pone de buen humor mismo teniendo un día de mierda... 

Cette chanson de @casanova_off me fais heureux même dans un jour horrible. Merci 

https://t.co/cILWaoxASq",Llanera,Asturias,16,0,3194,1783,135945,0,0,3,0.0,0,0,0,3,16450.0,0.337498
Txonny_,Y siguen subiendo...que maravilla,Llanera,Asturias,13,0,3194,1783,135945,0,0,1,0.0,0,0,0,1,16450.0,0.994205
Txonny_,Deseando escuchar ya lo nuevo de Lágrimas de Gijón,Llanera,Asturias,21,0,3194,1783,135945,0,0,0,0.0,0,0,0,0,16450.0,0.809967
Latanace,Si alguien sabe describir las pasiones es @MartaRoblesG. ❤️❤️❤️,Níjar,Almería,15,0,3407,22238,405541,0,0,2,1.0,0,0,0,2,11550.0,0.905317
Latanace,"Por favor… Estoy sin móvil. 
Busco a María, sexóloga, experta en sexualidades no convencionales. ¡No recuerdo tu nick! (La chica de Dani) 
¿Me podéis ayudar?",Níjar,Almería,15,0,3407,22238,405541,2,1,0,0.0,0,0,0,3,11550.0,0.0
Latanace,"Tenemos todos cita, pero @policia de #Almería tiene serios problemas de cumplir los horarios. Están llamando a los citados a las 12:00. https://t.co/P2xZWnzfoZ",Níjar,Almería,10,0,3407,22238,405541,1,0,2,0.0,0,0,0,3,11550.0,-0.6571520000000001
Latanace,Buen día #TheCaboReviews https://t.co/ibFbdo5Kkp,Níjar,Almería,6,0,3407,22238,405541,0,0,0,0.0,0,0,0,0,11550.0,0.8994790000000001
Latanace,"Jamás habría sido capaz de hacerlo bien sin la ayuda de @MJFdz. 
Ha sido paciente. 
Y me ha entendido a la primera. 
Gracias, amiga. ❤️💜",Níjar,Almería,17,0,3407,22238,405541,0,0,3,1.0,1,0,0,2,11550.0,0.97442
Latanace,"No recuerdo la peli, pero me encantaría verla. ¿Me ayudáis?",Níjar,Almería,20,0,3407,22238,405541,2,0,1,0.0,1,0,1,1,11550.0,0.348379
Latanace,"Bueno, ¿qué terapia de grupo nos haremos hoy?",Níjar,Almería,11,0,3407,22238,405541,1,0,0,0.0,0,1,0,0,11550.0,0.761415
Latanace,"Tengo que cambiar mi bio. 
Tardaré.
En mi bio hay un guiño a la persona con la que he usado tacones los últimos 17 años de mi vida. Yo era “guía profesional de tacones” porque creía que los llevaría toda la vida para follar con él. #TambiénEstoPasará 
🧵🪡👠👇🏽",Níjar,Almería,10,0,3407,22238,405541,2,0,4,0.6666666666666666,1,0,2,3,11550.0,-0.379642
Latanace,Esto. 👇🏽,Níjar,Almería,19,0,3407,22238,405541,0,0,0,0.0,0,0,0,0,11550.0,0.40536
Latanace,En una centro de educación infantil..,Níjar,Almería,18,0,3407,22238,405541,0,0,0,0.0,0,0,0,0,11550.0,0.0
Macarena_1212,Creo que esta hora es la hora perfecta para ponerme a escribir sobre mis mierdas,Granada,Granada,1,0,650,1033,205539,1,0,1,0.0,0,0,0,2,17150.0,-0.581759
Macarena_1212,"SE CELEBRA COMO EL GOL DE INIESTA EN EL MUNDIAL, SISISI",Granada,Granada,18,0,650,1033,205539,0,0,0,0.0,0,0,0,0,17150.0,0.8967069999999999
Macarena_1212,No vuelvo a mandar nunca más el mensaje,Granada,Granada,10,0,650,1033,205539,1,0,0,0.0,0,0,0,1,17150.0,-0.853142
Macarena_1212,Llevará espinilleras hoy aleix vidal?,Granada,Granada,20,0,650,1033,205539,0,0,2,0.0,0,1,1,0,17150.0,0.0
Macarena_1212,"Pero que de verdad os pensáis que estamos pa ganar de primeras 😂😂😂 hacer como han hecho estos últimos años Italia y Francia, yendo poco a poco, no, a por todas de una a ganar... Es que parece que ni vosotros mismos os leéis",Granada,Granada,15,0,650,1033,205539,2,1,4,1.0,0,0,1,6,17150.0,-0.5052220000000001
Macarena_1212,"Vaya final de mitad de temporada de Dickinson, no tengo palabras para describir lo que se viene",Granada,Granada,13,0,650,1033,205539,1,0,2,0.0,0,0,0,2,17150.0,-0.6295649999999999
Macarena_1212,"bien, por fin tengo un calendario de 2022 para apuntar los 7 exámenes que tengo en enero y los cuales aún no he empezado a estudiar",Granada,Granada,15,0,650,1033,205539,3,0,0,0.0,0,0,0,3,17150.0,-0.358214
Macarena_1212,CHANEL EUROVISION #benidormfest,Granada,Granada,23,0,650,1033,205539,0,0,0,0.0,0,0,0,0,17150.0,0.0
Macarena_1212,Parece ser que ahora con el flequillo me parezco a todo el mundo menos a mi,Granada,Granada,13,0,650,1033,205539,1,0,1,0.0,0,0,0,2,17150.0,-0.757656
Macarena_1212,"Diría que same doja, pero soy más de booty",Granada,Granada,21,0,650,1033,205539,1,0,1,0.0,1,0,0,1,17150.0,0.0
jofralo05,"🥲🥲 en Arrabal De Portillo, Castilla y León, Spain https://t.co/NJ8hFAS4XA",Portillo,Valladolid,13,0,2362,841,225509,0,0,0,0.0,0,0,0,0,15050.0,0.0
jofralo05,"😕😕😕 en Arrabal De Portillo, Castilla y León, Spain https://t.co/4WhvfZyoFX",Portillo,Valladolid,11,0,2362,841,225509,0,0,0,0.0,0,0,0,0,15050.0,0.0
jofralo05,"🤦🤦🤦 en Arrabal De Portillo, Castilla y León, Spain https://t.co/WpdZZvlyZn",Portillo,Valladolid,0,0,2362,841,225509,0,0,0,0.0,0,0,0,0,15050.0,0.0
jofralo05,"❤️❤️ en Arrabal De Portillo, Castilla y León, Spain https://t.co/UvTE8jbTVV",Portillo,Valladolid,14,0,2362,841,225509,0,0,0,1.0,0,0,0,0,15050.0,0.8813040000000001
jofralo05,"😫😫😫 en Arrabal De Portillo, Castilla y León, Spain https://t.co/Lb7GiaEOwk",Portillo,Valladolid,1,0,2362,841,225509,0,0,0,0.0,0,0,0,0,15050.0,0.0
jofralo05,"❤️❤️❤️ en Arrabal De Portillo, Castilla y León, Spain https://t.co/k01H21YEGV",Portillo,Valladolid,17,0,2362,841,225509,0,0,0,1.0,0,0,0,0,15050.0,0.920943
jofralo05,"❤️❤️❤️ en Arrabal De Portillo, Castilla y León, Spain https://t.co/x7QH2sX5JX",Portillo,Valladolid,15,0,2362,841,225509,0,0,0,1.0,0,0,0,0,15050.0,0.920943
jofralo05,"🤗🤗🤗 en Arrabal De Portillo, Castilla y León, Spain https://t.co/8wNAKALbZh",Portillo,Valladolid,6,0,2362,841,225509,0,0,0,1.0,0,0,0,0,15050.0,0.8570620000000001
